site_id,priority,clinic,province,district,backhaul_cluster,cluster_tier,rollout_phase,address,latitude,longitude,geocode_source,geocode_confidence,recommended_access_technology,notes,dfa_status,dfa_nearnet_distance_m,dfa_products_available,dfa_reference,checked_date
UNJ-179,3,Monsterlus,Limpopo,Sekhukhune,Greater Sekhukhune,2,3,"Stand 18, Jerusalem Section, Monsterlus",-25.0044848,29.718627,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-180,3,Moteti,Limpopo,Sekhukhune,Greater Sekhukhune,2,3,"Stand 361B, Staan n Kyk, Moteti A",-25.236828,29.0439473,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-181,3,Moutse Mall,Limpopo,Sekhukhune,Greater Sekhukhune,2,3,"Moutse Mall, R25 Bronkhorstspruit Road, Dennilton",-25.28059,29.184553,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-174,3,Muhlava Village,Limpopo,Mopani,Mopani,2,3,"Stand 2578, Muhlava Village",-23.9277006,30.2683636,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-187,3,Musina,Limpopo,Vhembe,Vhembe,2,3,"Cnr Isaac Singo and Elias Ramuthivheli Street, Nancefield, Musina",-22.3341189,30.0243556,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-188,3,Mutale,Limpopo,Vhembe,Vhembe,2,3,"Tshilamba Shopping Centre, R523, Tshilamba, Mutale",-22.7439713,30.5316735,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-175,3,Nkambako,Limpopo,Mopani,Mopani,2,3,"Stand A0287, Ward F, R529 Giyani Road, Nkambako",-23.7426245,30.4778999,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-166,3,Nokaneng,Limpopo,Greater Tubatse,Greater Sekhukhune,2,3,"Stand 502, R579 Main Road, Kalkfontein, Nokaneng",-24.886837,30.063297,CircleTel pilot survey,FIELD-VERIFIED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-197,3,Northam,Limpopo,Waterberg,Waterberg,3,4,"172 Opal Street, Ext 2, Northam",-24.952446,27.263548,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-159,3,Perskebult,Limpopo,Capricorn,Capricorn / Polokwane,2,3,"Mmotong wa Perekisi, Universal Furniture Complex, Stand 1339, Ga-Ranoto, Perskebult",-23.7945651,29.3494407,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-176,3,Phalaborwa,Limpopo,Mopani,Mopani,2,3,"Namakgale Crossing, Calvin Ngobeni Street, Namakgale, Phalaborwa",-23.9273125,31.025632,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-160,3,Ramongoane,Limpopo,Capricorn,Capricorn / Polokwane,2,3,"161 Ramongoane, R521 Road",-23.7141286,29.4042612,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-151,3,Riba Cross,Limpopo,Burgersfort,Greater Sekhukhune,2,3,"Stand 141, Riba Cross, Burgersfort",-24.6227829,30.2027698,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-189,3,Saselamani,Limpopo,Vhembe,Vhembe,2,3,"Stand 217, opposite Usave, R542 Main Road, Saselamani",-22.834431,30.8560252,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-161,3,Sebayeng,Limpopo,Capricorn,Capricorn / Polokwane,2,3,"Stand 287, Thari Street, Sebayeng A, Sebayeng",-23.776765,29.6915183,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-162,3,Senwabarwana,Limpopo,Capricorn,Capricorn / Polokwane,2,3,"Stand 346, Ext 3, Bochum, Senwabarwana",-23.2867002,29.1405789,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-163,3,Seshego,Limpopo,Capricorn,Capricorn / Polokwane,2,3,"Mohlakaneng Shopping Centre, Polokwane Drive, Seshego, Polokwane",-23.8521705,29.4009666,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-182,3,Tafelkop,Limpopo,Sekhukhune,Greater Sekhukhune,2,3,"Stand MC 19, Dipakapakeng, Tafelkop",-25.034208,29.5315305,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-198,3,Thabazimbi,Limpopo,Waterberg,Waterberg,3,4,"Thaba Mall, 5 Warmbaths Road, Thabazimbi",-24.5896667,27.3979167,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-190,3,Thohoyandou,Limpopo,Vhembe,Vhembe,2,3,"905 Block P East, R523 Main Road, Thohoyandou",-22.9808687,30.4568349,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-177,3,Tiyani,Limpopo,Mopani,Mopani,2,3,"Stand 1549, Xihimu, Tiyani Village",-23.2952524,30.3253635,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-199,3,Tshamahansi,Limpopo,Waterberg,Waterberg,3,4,"Stand 727, N11, Tshamahansi Village, Mokopane",-24.0755673,28.9720275,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-191,3,Tshikota,Limpopo,Vhembe,Vhembe,2,3,"1623 Kganakga Street, Tshikota, Louis Trichardt",-23.0458881,29.8810707,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-152,3,Tukakgomo,Limpopo,Burgersfort,Greater Sekhukhune,2,3,"Stand 98, next to Usave, Tukakgomo",-24.7420826,30.1496261,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-178,3,Tzaneen,Limpopo,Mopani,Mopani,2,3,"99 Agatha Street, Tzaneen",-23.8233154,30.1625062,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-192,3,Vuwani,Limpopo,Vhembe,Vhembe,2,3,"Stand 159, Tshino Mukondeleli, Vuwani",-23.1290215,30.4167931,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-201,3,Acornhoek,Mpumalanga,Ehlanzeni,Ehlanzeni Lowveld,1,3,"Stand 320, Greenvalley, Khelang, Acornhoek",-24.6072056,31.0379333,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-217,3,Balfour,Mpumalanga,Gert Sibande,Gert Sibande,3,4,"1140 Verdoorn Street, Balfour",-26.6606133,28.5848267,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-224,3,Bethal,Mpumalanga,Govan Mbeki,Govan Mbeki,4,5,"31 Jabulani Selepe Street, Bethal",-26.455002,29.460549,Google Places,AUTO-GEOCODED,LTE uncapped; LEO satellite fallback,,,,,,
